,volume,part,chapter,text,cs,num-switches-intraturn,num-switches-interturn,num-switches-intrasent
0,Эпилог,1,1,"['Описывая', 'деятельность', 'этих', 'исторических', 'лиц', ',', 'бывших', ',', 'по', 'их', 'мнению', ',', 'причиною', 'того', ',', 'чтò', 'они', 'называют', 'реакцией', ',', 'историки', 'строго', 'осуждают', 'их', '.', 'Все', 'известные', 'люди', 'того', 'времени', ',', 'от', 'Александра', 'и', 'Наполеона', 'до', 'm', '-', 'me', 'Staël', ',', 'Фотия', ',', 'Шеллинга', ',', 'Фихте', ',', 'Шатобриана', 'и', 'проч', '.', ',', 'проходят', 'перед', 'их', 'строгим', 'судом', 'и', 'оправдываются', 'или', 'осуждаются', ',', 'смотря', 'по', 'тому', ',', 'содействовали', 'ли', 'они', 'прогрессу', 'или', 'реакции', '.']","['ru', 'ru', 'ru', 'ru', 'ru', '', 'ru', '', 'ru', 'ru', 'ru', '', 'ru', 'ru', '', 'ru', 'ru', 'ru', 'ru', '', 'ru', 'ru', 'ru', 'ru', '', 'ru', 'ru', 'ru', 'ru', 'ru', '', 'ru', 'ru', 'ru', 'ru', 'ru', 'non-ru', '', 'non-ru', 'non-ru', '', 'ru', '', 'ru', '', 'ru', '', 'ru', 'ru', 'ru', '', '', 'ru', 'ru', 'ru', 'ru', 'ru', 'ru', 'ru', 'ru', 'ru', '', 'ru', 'ru', 'ru', '', 'ru', 'ru', 'ru', 'ru', 'ru', 'ru', '']",2,0,1
1,Эпилог,1,1,"['В', 'России', ',', 'по', 'их', 'описанию', ',', 'в', 'этот', 'период', 'времени', 'тоже', 'происходила', 'реакция', ',', 'и', 'главным', 'виновником', 'этой', 'реакции', 'был', 'Александр', 'I', ',', '—', 'тот', 'самый', 'Александр', 'I', ',', 'который', ',', 'по', 'их', 'же', 'описаниям', ',', 'был', 'главным', 'виновником', 'либеральных', 'начинаний', 'своего', 'царствования', 'и', 'спасения', 'России', '.']","['ru', 'ru', '', 'ru', 'ru', 'ru', '', 'ru', 'ru', 'ru', 'ru', 'ru', 'ru', 'ru', '', 'ru', 'ru', 'ru', 'ru', 'ru', 'ru', 'ru', 'non-ru', '', '', 'ru', 'ru', 'ru', 'non-ru', '', 'ru', '', 'ru', 'ru', 'ru', 'ru', '', 'ru', 'ru', 'ru', 'ru', 'ru', 'ru', 'ru', 'ru', 'ru', 'ru', '']",4,0,1
2,Эпилог,1,1,"['Те', 'самые', 'поступки', ',', 'за', 'которые', 'историки', 'одобряют', 'Александра', 'I', ',', '—', 'как', '-', 'то', ':', 'либеральные', 'начинания', 'царствования', ',', 'борьба', 'с', 'Наполеоном', ',', 'твердость', ',', 'выказанная', 'им', 'в', '12-м', 'году', 'и', 'поход', '13-го', 'года', ',', 'не', 'вытекают', 'ли', 'из', 'одних', 'и', 'тех', 'же', 'источников', ',', '—', 'условий', 'крови', ',', 'воспитания', ',', 'жизни', ',', 'сделавших', 'личность', 'Александра', 'тем', ',', 'чем', 'она', 'была', ',', '—', 'из', 'которых', 'вытекают', 'и', 'те', 'поступки', ',', 'за', 'которые', 'историки', 'порицают', 'его', ',', 'как', '-', 'то', ':', 'Священный', 'Союз', ',', 'восстановление', 'Польши', ',', 'реакция', '20-х', 'годов', '?', 'В', 'чем', 'состоит', 'сущность', 'этих', 'упреков', '?']","['ru', 'ru', 'ru', '', 'ru', 'ru', 'ru', 'ru', 'ru', 'non-ru', '', '', 'ru', '', 'ru', '', 'ru', 'ru', 'ru', '', 'ru', 'ru', 'ru', '', 'ru', '', 'ru', 'ru', 'ru', 'ru', 'ru', 'ru', 'ru', 'ru', 'ru', '', 'ru', 'ru', 'ru', 'ru', 'ru', 'ru', 'ru', 'ru', 'ru', '', '', 'ru', 'ru', '', 'ru', '', 'ru', '', 'ru', 'ru', 'ru', 'ru', '', 'ru', 'ru', 'ru', '', '', 'ru', 'ru', 'ru', 'ru', 'ru', 'ru', '', 'ru', 'ru', 'ru', 'ru', 'ru', '', 'ru', '', 'ru', '', 'ru', 'ru', '', 'ru', 'ru', '', 'ru', 'ru', 'ru', '', 'ru', 'ru', 'ru', 'ru', 'ru', 'ru', '']",2,0,1
3,Эпилог,1,1,"['В', 'том', ',', 'что', 'такое', 'историческое', 'лицо', ',', 'как', 'Александр', 'I', ',', 'лицо', ',', 'стоявшее', 'на', 'высшей', 'возможной', 'ступени', 'человеческой', 'власти', ',', 'как', 'бы', 'в', 'фокусе', 'ослепляющего', 'света', 'всех', 'сосредоточивающихся', 'на', 'нем', 'исторических', 'лучей', ';', 'лицо', ',', 'подлежавшее', 'тем', 'сильнейшим', 'в', 'мире', 'влияниям', 'интриг', ',', 'обманов', ',', 'лести', ',', 'самообольщения', ',', 'которые', 'неразлучны', 'с', 'властью', ';', 'лицо', ',', 'чувствовавшее', 'на', 'себе', ',', 'всякую', 'минуту', 'своей', 'жизни', ',', 'ответственность', 'за', 'всё', 'совершавшееся', 'в', 'Европе', ',', 'и', 'лицо', 'не', 'выдуманное', ',', 'а', 'живое', ',', 'имеющее', 'как', 'и', 'каждый', 'человек', ',', 'свои', 'личные', 'привычки', ',', 'страсти', ',', 'стремления', 'к', 'добру', ',', 'красоте', ',', 'истине', ',', '—', 'что', 'это', 'лицо', ',', 'пятьдесят', 'лет', 'тому', 'назад', ',', 'не', 'то', 'что', 'не', 'было', 'добродетельно', '(', 'за', 'это', 'историки', 'не', 'упрекают', ')', ',', 'а', 'не', 'имело', 'тех', 'воззрений', 'на', 'благо', 'человечества', ',', 'которые', 'имеет', 'теперь', 'профессор', ',', 'смолоду', 'занимающийся', 'наукой', ',', 'т', '.', 'е', '.', 'читанием', 'книжек', ',', 'лекций', 'и', 'списыванием', 'этих', 'книжек', 'и', 'лекций', 'в', 'одну', 'тетрадку', '.']","['ru', 'ru', '', 'ru', 'ru', 'ru', 'ru', '', 'ru', 'ru', 'non-ru', '', 'ru', '', 'ru', 'ru', 'ru', 'ru', 'ru', 'ru', 'ru', '', 'ru', 'ru', 'ru', 'ru', 'ru', 'ru', 'ru', 'ru', 'ru', 'ru', 'ru', 'ru', '', 'ru', '', 'ru', 'ru', 'ru', 'ru', 'ru', 'ru', 'ru', '', 'ru', '', 'ru', '', 'ru', '', 'ru', 'ru', 'ru', 'ru', '', 'ru', '', 'ru', 'ru', 'ru', '', 'ru', 'ru', 'ru', 'ru', '', 'ru', 'ru', 'ru', 'ru', 'ru', 'ru', '', 'ru', 'ru', 'ru', 'ru', '', 'ru', 'ru', '', 'ru', 'ru', 'ru', 'ru', 'ru', '', 'ru', 'ru', 'ru', '', 'ru', '', 'ru', 'ru', 'ru', '', 'ru', '', 'ru', '', '', 'ru', 'ru', 'ru', '', 'ru', 'ru', 'ru', 'ru', '', 'ru', 'ru', 'ru', 'ru', 'ru', 'ru', '', 'ru', 'ru', 'ru', 'ru', 'ru', '', '', 'ru', 'ru', 'ru', 'ru', 'ru', 'ru', 'ru', 'ru', '', 'ru', 'ru', 'ru', 'ru', '', 'ru', 'ru', 'ru', '', 'ru', '', 'ru', '', 'ru', 'ru', '', 'ru', 'ru', 'ru', 'ru', 'ru', 'ru', 'ru', 'ru', 'ru', 'ru', '']",2,0,1
4,Эпилог,1,1,"['Но', 'если', 'даже', 'предположить', ',', 'что', 'Александр', 'I', ',', 'пятьдесят', 'лет', 'тому', 'назад', ',', 'ошибался', 'в', 'своем', 'воззрении', 'на', 'то', ',', 'что', 'есть', 'благо', 'народов', ',', 'невольно', 'должно', 'предположить', ',', 'что', 'и', 'историк', ',', 'судящий', 'Александра', ',', 'точно', 'так', 'же', 'по', 'прошествии', 'некоторого', 'времени', 'окажется', 'несправедливым', 'в', 'своем', 'воззрении', 'на', 'то', ',', 'чтò', 'есть', 'благо', 'человечества', '.', 'Предположение', 'это', 'тем', 'более', 'естественно', 'и', 'необходимо', ',', 'что', ',', 'следя', 'за', 'развитием', 'истории', ',', 'мы', 'видим', ',', 'что', 'с', 'каждым', 'годом', ',', 'с', 'каждым', 'новым', 'писателем', 'изменяется', 'воззрение', 'на', 'то', ',', 'чтò', 'есть', 'благо', 'человечества', ';', 'так', 'что', 'то', ',', 'чтò', 'казалось', 'благом', ',', 'чрез', '10', 'лет', 'представляется', 'злом', ';', 'и', 'наоборот', '.', 'Мало', 'того', ',', 'одновременно', 'мы', 'находим', 'в', 'истории', 'совершенно', 'противоположные', 'взгляды', 'на', 'то', ',', 'чтò', 'было', 'зло', 'и', 'чтò', 'было', 'благо', ':', 'одни', 'данную', 'Польше', 'конституцию', 'и', 'Священный', 'Союз', 'ставят', 'в', 'заслугу', ',', 'другие', 'в', 'укор', 'Александру', '.']","['ru', 'ru', 'ru', 'ru', '', 'ru', 'ru', 'non-ru', '', 'ru', 'ru', 'ru', 'ru', '', 'ru', 'ru', 'ru', 'ru', 'ru', 'ru', '', 'ru', 'ru', 'ru', 'ru', '', 'ru', 'ru', 'ru', '', 'ru', 'ru', 'ru', '', 'ru', 'ru', '', 'ru', 'ru', 'ru', 'ru', 'ru', 'ru', 'ru', 'ru', 'ru', 'ru', 'ru', 'ru', 'ru', 'ru', '', 'ru', 'ru', 'ru', 'ru', '', 'ru', 'ru', 'ru', 'ru', 'ru', 'ru', 'ru', '', 'ru', '', 'ru', 'ru', 'ru', 'ru', '', 'ru', 'ru', '', 'ru', 'ru', 'ru', 'ru', '', 'ru', 'ru', 'ru', 'ru', 'ru', 'ru', 'ru', 'ru', '', 'ru', 'ru', 'ru', 'ru', '', 'ru', 'ru', 'ru', '', 'ru', 'ru', 'ru', '', 'ru', '', 'ru', 'ru', 'ru', '', 'ru', 'ru', '', 'ru', 'ru', '', 'ru', 'ru', 'ru', 'ru', 'ru', 'ru', 'ru', 'ru', 'ru', 'ru', '', 'ru', 'ru', 'ru', 'ru', 'ru', 'ru', 'ru', '', 'ru', 'ru', 'ru', 'ru', 'ru', 'ru', 'ru', 'ru', 'ru', 'ru', '', 'ru', 'ru', 'ru', 'ru', '']",2,0,1
5,Эпилог,1,3,"['Случайность', ',', 'миллионы', 'случайностей', 'дают', 'ему', 'власть', ',', 'и', 'все', 'люди', ',', 'как', 'бы', 'сговорившись', ',', 'содействуют', 'утверждению', 'этой', 'власти', '.', 'Случайности', 'делают', 'характеры', 'тогдашних', 'правителей', 'Франции', ',', 'подчиняющихся', 'ему', ';', 'случайности', 'делают', 'характер', 'Павла', 'I', ',', 'признающего', 'его', 'власть', ';', 'случайность', 'делает', 'против', 'него', 'заговор', ',', 'не', 'только', 'не', 'вредящий', 'ему', ',', 'но', 'утверждающий', 'его', 'власть', '.', 'Случайность', 'посылает', 'ему', 'в', 'руки', 'герцога', 'Энгиенского', 'и', 'нечаянно', 'заставляет', 'его', 'убить', ',', 'тем', 'самым', ',', 'сильнее', 'всех', 'других', 'средств', ',', 'убеждая', 'толпу', ',', 'что', 'он', 'имеет', 'право', ',', 'так', 'как', 'он', 'имеет', 'силу', '.', 'Случайность', 'делает', 'то', ',', 'что', 'он', 'напрягает', 'все', 'силы', 'на', 'экспедицию', 'в', 'Англию', ',', 'которая', 'очевидно', 'погубила', 'бы', 'его', ',', 'и', 'никогда', 'не', 'исполняет', 'этого', 'намерения', ',', 'а', 'нечаянно', 'нападает', 'на', 'Мака', 'с', 'австрийцами', ',', 'которые', 'сдаются', 'без', 'сражения', '.', 'Случайность', 'и', 'гениальность', 'дают', 'ему', 'победу', 'под', 'Аустерлицом', ',', 'и', 'случайно', 'все', 'люди', ',', 'не', 'только', 'французы', ',', 'но', 'и', 'вся', 'Европа', ',', 'за', 'исключением', 'Англии', ',', 'которая', 'и', 'не', 'примет', 'участия', 'в', 'имеющих', 'совершиться', 'событиях', ',', 'все', 'люди', ',', 'несмотря', 'на', 'прежний', 'ужас', 'и', 'отвращение', 'к', 'его', 'преступлениям', ',', 'теперь', 'признают', 'за', 'ним', 'его', 'власть', ',', 'название', ',', 'которое', 'он', 'себе', 'дал', ',', 'и', 'его', 'идеал', 'величия', 'и', 'славы', ',', 'который', 'кажется', 'всем', 'чем', '-', 'то', 'прекрасным', 'и', 'разумным', '.']","['ru', '', 'ru', 'ru', 'ru', 'ru', 'ru', '', 'ru', 'ru', 'ru', '', 'ru', 'ru', 'ru', '', 'ru', 'ru', 'ru', 'ru', '', 'ru', 'ru', 'ru', 'ru', 'ru', 'ru', '', 'ru', 'ru', '', 'ru', 'ru', 'ru', 'ru', 'non-ru', '', 'ru', 'ru', 'ru', '', 'ru', 'ru', 'ru', 'ru', 'ru', '', 'ru', 'ru', 'ru', 'ru', 'ru', '', 'ru', 'ru', 'ru', 'ru', '', 'ru', 'ru', 'ru', 'ru', 'ru', 'ru', 'ru', 'ru', 'ru', 'ru', 'ru', 'ru', '', 'ru', 'ru', '', 'ru', 'ru', 'ru', 'ru', '', 'ru', 'ru', '', 'ru', 'ru', 'ru', 'ru', '', 'ru', 'ru', 'ru', 'ru', 'ru', '', 'ru', 'ru', 'ru', '', 'ru', 'ru', 'ru', 'ru', 'ru', 'ru', 'ru', 'ru', 'ru', '', 'ru', 'ru', 'ru', 'ru', 'ru', '', 'ru', 'ru', 'ru', 'ru', 'ru', 'ru', '', 'ru', 'ru', 'ru', 'ru', 'ru', 'ru', 'ru', '', 'ru', 'ru', 'ru', 'ru', '', 'ru', 'ru', 'ru', 'ru', 'ru', 'ru', 'ru', 'ru', '', 'ru', 'ru', 'ru', 'ru', '', 'ru', 'ru', 'ru', '', 'ru', 'ru', 'ru', 'ru', '', 'ru', 'ru', 'ru', '', 'ru', 'ru', 'ru', 'ru', 'ru', 'ru', 'ru', 'ru', 'ru', '', 'ru', 'ru', '', 'ru', 'ru', 'ru', 'ru', 'ru', 'ru', 'ru', 'ru', 'ru', '', 'ru', 'ru', 'ru', 'ru', 'ru', 'ru', '', 'ru', '', 'ru', 'ru', 'ru', 'ru', '', 'ru', 'ru', 'ru', 'ru', 'ru', 'ru', '', 'ru', 'ru', 'ru', 'ru', '', 'ru', 'ru', 'ru', 'ru', '']",2,0,1
6,Эпилог,1,4,"['Еще', 'бòльшую', 'последовательность', 'и', 'необходимость', 'представляет', 'жизнь', 'Александра', 'I', ',', 'того', 'лица', ',', 'которое', 'стояло', 'во', 'главе', 'противодвижения', 'с', 'востока', 'на', 'запад', '.']","['ru', 'ru', 'ru', 'ru', 'ru', 'ru', 'ru', 'ru', 'non-ru', '', 'ru', 'ru', '', 'ru', 'ru', 'ru', 'ru', 'ru', 'ru', 'ru', 'ru', 'ru', '']",2,0,1
7,Эпилог,1,4,"['Нужно', 'чувство', 'справедливости', ',', 'участие', 'к', 'делам', 'Европы', ',', 'но', 'отдаленное', ',', 'не', 'затемненное', 'мелочными', 'интересами', ';', 'нужно', 'преобладание', 'высоты', 'нравственной', 'над', 'сотоварищами', '—', 'государями', 'того', 'времени', ';', 'нужна', 'кроткая', 'и', 'привлекательная', 'личность', ';', 'нужно', 'личное', 'оскорбление', 'против', 'Наполеона', '.', 'И', 'всё', 'это', 'есть', 'в', 'Александре', 'I', ';', 'всё', 'это', 'подготовлено', 'бесчисленными', 'так', 'называемыми', 'случайностями', 'всей', 'его', 'прошедшей', 'жизни', ':', 'и', 'воспитанием', ',', 'и', 'либеральными', 'начинаниями', ',', 'и', 'окружающими', 'советниками', ',', 'и', 'Аустерлицем', ',', 'и', 'Тильзитом', ',', 'и', 'Эрфуртом', '.']","['ru', 'ru', 'ru', '', 'ru', 'ru', 'ru', 'ru', '', 'ru', 'ru', '', 'ru', 'ru', 'ru', 'ru', '', 'ru', 'ru', 'ru', 'ru', 'ru', 'ru', '', 'ru', 'ru', 'ru', '', 'ru', 'ru', 'ru', 'ru', 'ru', '', 'ru', 'ru', 'ru', 'ru', 'ru', '', 'ru', 'ru', 'ru', 'ru', 'ru', 'ru', 'non-ru', '', 'ru', 'ru', 'ru', 'ru', 'ru', 'ru', 'ru', 'ru', 'ru', 'ru', 'ru', '', 'ru', 'ru', '', 'ru', 'ru', 'ru', '', 'ru', 'ru', 'ru', '', 'ru', 'ru', '', 'ru', 'ru', '', 'ru', 'ru', '']",2,0,1
8,Эпилог,1,4,"['Александр', 'I', ',', 'умиротворитель', 'Европы', ',', 'человек', ',', 'с', 'молодых', 'лет', 'стремившийся', 'только', 'к', 'благу', 'своих', 'народов', ',', 'первый', 'зачинщик', 'либеральных', 'нововведений', 'в', 'своем', 'отечестве', ',', 'теперь', ',', 'когда', ',', 'кажется', ',', 'он', 'владеет', 'наибольшею', 'властью', ',', 'и', 'потому', 'возможностью', 'сделать', 'благо', 'своих', 'народов', ',', 'в', 'то', 'время', 'как', 'Наполеон', 'в', 'изгнании', 'делает', 'детские', 'и', 'лживые', 'планы', 'о', 'том', ',', 'как', 'бы', 'он', 'осчастливил', 'человечество', ',', 'еслиб', 'имел', 'власть', ',', 'Александр', 'I', ',', 'исполнив', 'свое', 'призвание', 'и', 'почуяв', 'на', 'себе', 'руку', 'Божию', ',', 'вдруг', 'признает', 'ничтожность', 'этой', 'мнимой', 'власти', ',', 'отворачивается', 'от', 'нее', ',', 'передает', 'ее', 'в', 'руки', 'презираемых', 'им', 'и', 'презренных', 'людей', ',', 'и', 'говорит', 'только', ':']","['ru', 'non-ru', '', 'ru', 'ru', '', 'ru', '', 'ru', 'ru', 'ru', 'ru', 'ru', 'ru', 'ru', 'ru', 'ru', '', 'ru', 'ru', 'ru', 'ru', 'ru', 'ru', 'ru', '', 'ru', '', 'ru', '', 'ru', '', 'ru', 'ru', 'ru', 'ru', '', 'ru', 'ru', 'ru', 'ru', 'ru', 'ru', 'ru', '', 'ru', 'ru', 'ru', 'ru', 'ru', 'ru', 'ru', 'ru', 'ru', 'ru', 'ru', 'ru', 'ru', 'ru', '', 'ru', 'ru', 'ru', 'ru', 'ru', '', 'ru', 'ru', 'ru', '', 'ru', 'non-ru', '', 'ru', 'ru', 'ru', 'ru', 'ru', 'ru', 'ru', 'ru', 'ru', '', 'ru', 'ru', 'ru', 'ru', 'ru', 'ru', '', 'ru', 'ru', 'ru', '', 'ru', 'ru', 'ru', 'ru', 'ru', 'ru', 'ru', 'ru', 'ru', '', 'ru', 'ru', 'ru', '']",4,0,1
9,Эпилог,1,6,"['—', 'Ах', ',', 'как', 'можно', 'так', 'говорить', ',', 'Nicolas', '!', '—', 'сказала', 'Соня', ',', 'едва', 'скрывая', 'свою', 'радость', '.', '—', 'Она', 'такая', 'добрая', ',', 'и', 'maman', 'так', 'любит', 'ее', '.']","['', 'ru', '', 'ru', 'ru', 'ru', 'ru', '', 'non-ru', '', '', 'ru', 'ru', '', 'ru', 'ru', 'ru', 'ru', '', '', 'ru', 'ru', 'ru', '', 'ru', 'non-ru', 'ru', 'ru', 'ru', '']",4,0,2
10,Эпилог,1,6,"['В', 'середине', 'зимы', 'она', 'сидела', 'в', 'классной', ',', 'следя', 'за', 'уроками', 'племянника', ',', 'когда', 'ей', 'пришли', 'доложить', 'о', 'приезде', 'Ростова', '.', 'С', 'твердым', 'решением', 'не', 'выдавать', 'своей', 'тайны', 'и', 'не', 'выказать', 'своего', 'смущения', ',', 'она', 'пригласила', 'm', '-', 'lle', 'Bourienne', 'и', 'с', 'нею', 'вместе', 'вышла', 'в', 'гостиную', '.']","['ru', 'ru', 'ru', 'ru', 'ru', 'ru', 'ru', '', 'ru', 'ru', 'ru', 'ru', '', 'ru', 'ru', 'ru', 'ru', 'ru', 'ru', 'ru', '', 'ru', 'ru', 'ru', 'ru', 'ru', 'ru', 'ru', 'ru', 'ru', 'ru', 'ru', 'ru', '', 'ru', 'ru', 'non-ru', '', 'non-ru', 'non-ru', 'ru', 'ru', 'ru', 'ru', 'ru', 'ru', 'ru', '']",2,0,1
11,Эпилог,1,6,"['Княжна', 'с', 'помощью', 'm', '-', 'lle', 'Bourienne', 'выдержала', 'разговор', 'очень', 'хорошо', ';', 'но', 'в', 'самую', 'последнюю', 'минуту', ',', 'в', 'то', 'время', 'как', 'он', 'поднялся', ',', 'она', 'так', 'устала', 'говорить', 'о', 'том', ',', 'до', 'чего', 'ей', 'не', 'было', 'дела', ',', 'и', 'мысль', 'о', 'том', ',', 'за', 'чтò', 'ей', 'одной', 'так', 'мало', 'дано', 'радостей', 'в', 'жизни', ',', 'так', 'заняла', 'ее', ',', 'что', 'она', 'в', 'припадке', 'рассеянности', ',', 'устремив', 'вперед', 'себя', 'свои', 'лучистые', 'глаза', ',', 'сидела', 'неподвижно', ',', 'не', 'замечая', ',', 'что', 'он', 'поднялся', '.']","['ru', 'ru', 'ru', 'non-ru', '', 'non-ru', 'non-ru', 'ru', 'ru', 'ru', 'ru', '', 'ru', 'ru', 'ru', 'ru', 'ru', '', 'ru', 'ru', 'ru', 'ru', 'ru', 'ru', '', 'ru', 'ru', 'ru', 'ru', 'ru', 'ru', '', 'ru', 'ru', 'ru', 'ru', 'ru', 'ru', '', 'ru', 'ru', 'ru', 'ru', '', 'ru', 'ru', 'ru', 'ru', 'ru', 'ru', 'ru', 'ru', 'ru', 'ru', '', 'ru', 'ru', 'ru', '', 'ru', 'ru', 'ru', 'ru', 'ru', '', 'ru', 'ru', 'ru', 'ru', 'ru', 'ru', '', 'ru', 'ru', '', 'ru', 'ru', '', 'ru', 'ru', 'ru', '']",2,0,1
12,Эпилог,1,6,"['Николай', 'посмотрел', 'на', 'нее', 'и', ',', 'желая', 'сделать', 'вид', ',', 'что', 'он', 'не', 'замечает', 'ее', 'рассеянности', ',', 'сказал', 'несколько', 'слов', 'm', '-', 'lle', 'Bourienne', 'и', 'опять', 'взглянул', 'на', 'княжну', '.', 'Она', 'сидела', 'так', 'же', 'неподвижно', ',', 'и', 'на', 'нежном', 'лице', 'ее', 'выражалось', 'страдание', '.', 'Ему', 'вдруг', 'стало', 'жалко', 'ее', 'и', 'смутно', 'представилось', ',', 'что', ',', 'может', 'быть', ',', 'он', 'был', 'причиной', 'той', 'печали', ',', 'которая', 'выражалась', 'на', 'ее', 'лице', '.', 'Ему', 'захотелось', 'помочь', 'ей', ',', 'сказать', 'ей', 'что', '-', 'нибудь', 'приятное', ';', 'но', 'он', 'не', 'мог', 'придумать', ',', 'чтò', 'бы', 'сказать', 'ей', '.']","['ru', 'ru', 'ru', 'ru', 'ru', '', 'ru', 'ru', 'ru', '', 'ru', 'ru', 'ru', 'ru', 'ru', 'ru', '', 'ru', 'ru', 'ru', 'non-ru', '', 'non-ru', 'non-ru', 'ru', 'ru', 'ru', 'ru', 'ru', '', 'ru', 'ru', 'ru', 'ru', 'ru', '', 'ru', 'ru', 'ru', 'ru', 'ru', 'ru', 'ru', '', 'ru', 'ru', 'ru', 'ru', 'ru', 'ru', 'ru', 'ru', '', 'ru', '', 'ru', 'ru', '', 'ru', 'ru', 'ru', 'ru', 'ru', '', 'ru', 'ru', 'ru', 'ru', 'ru', '', 'ru', 'ru', 'ru', 'ru', '', 'ru', 'ru', 'ru', '', 'ru', 'ru', '', 'ru', 'ru', 'ru', 'ru', 'ru', '', 'ru', 'ru', 'ru', 'ru', '']",2,0,1
13,Эпилог,1,6,"['—', 'Постойте', ',', 'я', 'сейчас', 'принесу', 'ее', ',', '—', 'сказала', 'm', '-', 'lle', 'Bourienne', 'и', 'вышла', 'из', 'комнаты', '.']","['', 'ru', '', 'ru', 'ru', 'ru', 'ru', '', '', 'ru', 'non-ru', '', 'non-ru', 'non-ru', 'ru', 'ru', 'ru', 'ru', '']",2,0,1
14,Эпилог,1,7,"['Еще', 'менее', 'могла', 'она', 'понять', ',', 'почему', 'он', ',', 'с', 'его', 'добрым', 'сердцем', ',', 'с', 'его', 'всегдашнею', 'готовностью', 'предупредить', 'ее', 'желания', ',', 'приходил', 'почти', 'в', 'отчаяние', ',', 'когда', 'она', 'передавала', 'ему', 'просьбы', 'каких', '-', 'нибудь', 'баб', 'или', 'мужиков', ',', 'обращавшихся', 'к', 'ней', ',', 'чтобы', 'освободить', 'их', 'от', 'работ', ',', 'почему', 'он', ',', 'добрый', 'Nicolas', ',', 'упорно', 'отказывал', 'ей', ',', 'сердито', 'прося', 'ее', 'не', 'вмешиваться', 'не', 'в', 'свое', 'дело', '.', 'Она', 'чувствовала', ',', 'что', 'у', 'него', 'был', 'особый', 'мир', ',', 'страстно', 'им', 'любимый', ',', 'с', 'какими', '-', 'то', 'законами', ',', 'которых', 'она', 'не', 'понимала', '.']","['ru', 'ru', 'ru', 'ru', 'ru', '', 'ru', 'ru', '', 'ru', 'ru', 'ru', 'ru', '', 'ru', 'ru', 'ru', 'ru', 'ru', 'ru', 'ru', '', 'ru', 'ru', 'ru', 'ru', '', 'ru', 'ru', 'ru', 'ru', 'ru', 'ru', '', 'ru', 'ru', 'ru', 'ru', '', 'ru', 'ru', 'ru', '', 'ru', 'ru', 'ru', 'ru', 'ru', '', 'ru', 'ru', '', 'ru', 'non-ru', '', 'ru', 'ru', 'ru', '', 'ru', 'ru', 'ru', 'ru', 'ru', 'ru', 'ru', 'ru', 'ru', '', 'ru', 'ru', '', 'ru', 'ru', 'ru', 'ru', 'ru', 'ru', '', 'ru', 'ru', 'ru', '', 'ru', 'ru', '', 'ru', 'ru', '', 'ru', 'ru', 'ru', 'ru', '']",2,0,1
